title	predicted	actual	threshold_pred
Category:Aircraft operations	0.14849189813770458	0.0	True
Johns Hopkins Center for Health Security	0.12091862948458007	0.0	True
Center for Philosophy of Science	0.1093800558395692	0.0	True
CellProfiler	0.5531225672540531	0.0	True
Karl Spencer Lashley Award	0.13943008759037	0.0	True
S2242	0.12632462055222551	0.0	True
Portal:Neuroscience	0.142235854182653	0.0	True
Turing's Wager	0.26917081215375266	0.0	True
Quine (computing)	0.7133780821564917	0.0	True
Category:Unmanned blimps of China	0.11491837102803112	0.0	True
Emulation theory of representation	0.10162983660056761	0.0	True
Emerging technologies	0.15946526813176382	0.0	True
Air Freight Security	0.15298905840374374	0.0	True
Template:Marinebio	0.14080548504141155	0.0	True
Category:Self-replicating machines	0.4174161402374111	0.0	True
The Amsterdam Global Conference on Sustainability and Transparency	0.20921205636156734	0.0	True
Logic and dialectic	0.17222062562771095	0.0	True
Richard Seed	0.10517101071648216	0.0	True
Lurie Prize in Biomedical Sciences	0.14944460539723373	0.0	True
Sensory memory	0.1684215385466107	0.0	True
SED-ML	0.5967023386034559	0.0	True
Category:Airships of the United States Navy	0.1322276000689151	0.0	True
Template:Rfam	0.31054635663030655	0.0	True
File:Huston Smith.jpg	0.2393054310239389	0.0	True
Minimum information required in the annotation of models	0.1763252331605119	0.0	True
Category:Genetics or genomics research institutions	0.14999953090760892	0.0	True
Category:Medical monitoring	0.10835137808956798	0.0	True
Chanchlani Global Health Research Award	0.17112053159155904	0.0	True
Belief revision	0.11753551755742575	0.0	True
Alien Flight Student Program	0.22758317718281784	0.0	True
Category:Aviation in Mali	0.1014438036940413	0.0	True
Category:Fixed-base operators	0.14849189813770458	0.0	True
List of software for protein model error verification	0.21369624255250816	0.0	True
African Society for Bioinformatics and Computational Biology	0.6472819992550097	0.0	True
Cognitive model	0.3641523013996189	0.0	True
Computer-Assisted Passenger Prescreening System	0.4694618482573716	0.0	True
Template:Algae and Human Affairs	0.10061857073889038	0.0	True
Linda Avey	0.1482923705807402	0.0	True
Jordi Camí	0.11047302499836525	0.0	True
History of artificial life	0.8935580948528493	0.0	True
Eric P. Hamp	0.13445143754289537	0.0	True
Bioinformatic Harvester	0.23086984140350145	0.0	True
Category:Evolutionary processes	0.13565352906513903	0.0	True
Sensitive Security Information	0.4440625369751179	0.0	True
Template:SORA	0.14375928688169712	0.0	True
Scientific essentialism	0.12447790411463977	0.0	True
Formatdb	0.16849260185774986	0.0	True
MAVID	0.2912350502653947	0.0	True
Category:Prokaryotes taxonomy	0.2086644692740716	0.0	True
DAFIF	0.10887709539537524	0.0	True
Category:Airship technology	0.1652244276721271	0.0	True
PhylomeDB	0.30787925708045283	0.0	True
Andrew Thompson (parasitologist)	0.24902144551272967	0.0	True
The Brain Prize	0.2504955412724775	0.0	True
JSBML	0.8861464870224831	0.0	True
Template:Paleodb	0.33066846960290924	0.0	True
Research balloon	0.1470859672394604	0.0	True
Phasor approach to fluorescence lifetime and spectral imaging	0.17954951783788	0.0	True
Qualification problem	0.10857457626704486	0.0	True
Jalview	0.5193437631429545	0.0	True
Category:Humanists	0.12353202167868765	0.0	True
Ethics Bowl	0.14419170884293506	0.0	True
Neural oscillation	0.33900207953101247	0.0	True
Mothur	0.18320894467976115	0.0	True
Category:Enactive cognition	0.21748407658550972	0.0	True
File:Descartes optics.jpg	0.39417505878431436	0.0	True
Category:Spinoza scholars	0.10486046135596251	0.0	True
Ariadne's thread (logic)	0.18926703670357603	0.0	True
UNESCO-Equatorial Guinea International Prize for Research in the Life Sciences	0.22158273344884197	0.0	True
Category:Heidegger scholars	0.10486046135596251	0.0	True
File:Balloon fiesta special shapes02.jpg	0.2880608809485167	0.0	True
Boolean network	0.16805152402826865	0.0	True
Category:Airline logos	0.1718795917406172	0.0	True
African Nutrition Leadership Programme	0.15269904360634257	0.0	True
Automated aerial refueling	0.21217671937975385	0.0	True
SimLife	0.18154002121298404	0.0	True
File:Adrenaline romance.jpg	0.27312893238609165	0.0	True
Tree rearrangement	0.3197323281000752	0.0	True
RapidMiner	0.5127230373567958	0.0	True
Category:Balloon-borne telescopes	0.1138926821378176	0.0	True
Vadim N. Gladyshev	0.10616389962107728	0.0	True
Austrocortirubin	0.15132766066541042	0.0	True
NAS Award in the Neurosciences	0.10667892522369671	0.0	True
Category:Aging-associated diseases	0.11289511881368618	0.0	True
Category:Aviation-related professional associations	0.12398681735306047	0.0	True
Qlucore	0.3009119622349714	0.0	True
Sequence graph	0.1099813301185626	0.0	True
Hindmarsh–Rose model	0.11239167807019229	0.0	True
CAF-1	0.10469813610484696	0.0	True
Gonocyte	0.10411539415868049	0.0	True
Category:Aircraft finance	0.2850548412975017	0.0	True
Vector logic	0.12729234037034093	0.0	True
Category:Pesticides by region	0.1007641369063483	0.0	True
Low-information rationality	0.12012620816554645	0.0	True
Global Campaign for Microbicides	0.1384700059569088	0.0	True
DNA Data Bank of Japan	0.20349962650929912	0.0	True
Brain–brain interface	0.10614884580767554	0.0	True
DNADynamo	0.15236090150553733	0.0	True
Category:Taxa described in 1997	0.12151172103941416	0.0	True
AMAP	0.32393591053467635	0.0	True
Minimum information about a simulation experiment	0.5514638049884053	0.0	True
Robert Burn (naturalist)	0.1746496598463857	0.0	True
Ecoinformatics	0.3287876412480117	0.0	True
Redbird Flight Simulations	0.10857009224148244	0.0	True
Category:Taxa described in 2014	0.12565132801378875	0.0	True
Formal ontology	0.24507234261178398	0.0	True
Biochore	0.20073454860926732	0.0	True
Global Ocean Ecosystem Dynamics	0.1336726148604832	0.0	True
Category:Philosophers of science	0.18445189536287368	0.0	True
Category:Airships of China	0.11491837102803112	0.0	True
Template:Genetic genealogy	0.10470240626969532	0.0	True
Neuroscience Information Framework	0.8817591975188516	0.0	True
Book:Human brain	0.10650985265995226	0.0	True
Open Tree of Life	0.22721545462784462	0.0	True
Basic linguistic theory	0.11106137481405812	0.0	True
Janet Kelso	0.21665205498216367	0.0	True
Aureus Sciences	0.22284196103700624	0.0	True
Heuristic argument	0.1993092271424648	0.0	True
Joseph Altman	0.10264493469781845	0.0	True
Fluroxypyr	0.18640021077227437	0.0	True
Human subspecies	0.2950352607046841	0.0	True
Category:Branches of botany	0.1603516436008955	0.0	True
Category:Aviation in Australia	0.12774956440843713	0.0	True
File:LeoStrauss.jpg	0.3279464300658158	0.0	True
InRule Technology	0.7823243738412163	0.0	True
