title	predicted	actual	threshold_pred
CellProfiler	0.4905411495621146	0.0	True
Turing's Wager	0.2032272465581818	0.0	True
Quine (computing)	0.7026978967730471	0.0	True
Category:Self-replicating machines	0.6507047277362932	0.0	True
The Amsterdam Global Conference on Sustainability and Transparency	0.2175663330591099	0.0	True
SED-ML	0.6494744863990276	0.0	True
Template:Rfam	0.2863794842339026	0.0	True
Alien Flight Student Program	0.26778185541738136	0.0	True
List of software for protein model error verification	0.25102524735362236	0.0	True
African Society for Bioinformatics and Computational Biology	0.7945909525873324	0.0	True
Cognitive model	0.40017273450388813	0.0	True
Computer-Assisted Passenger Prescreening System	0.5769702096050513	0.0	True
History of artificial life	0.9639134941874095	0.0	True
Bioinformatic Harvester	0.1911692600552578	0.0	True
Sensitive Security Information	0.4644318712133404	0.0	True
MAVID	0.270328186770729	0.0	True
Category:Prokaryotes taxonomy	0.28414176885503023	0.0	True
PhylomeDB	0.26742279037632566	0.0	True
Andrew Thompson (parasitologist)	0.27173036686417706	0.0	True
The Brain Prize	0.22815006707650654	0.0	True
JSBML	0.8944712326405313	0.0	True
Template:Paleodb	0.3308652043922573	0.0	True
Phasor approach to fluorescence lifetime and spectral imaging	0.20792918975408586	0.0	True
Jalview	0.4920278041893582	0.0	True
Neural oscillation	0.46007756739908223	0.0	True
Category:Enactive cognition	0.19828603780332021	0.0	True
File:Descartes optics.jpg	0.31253171468473523	0.0	True
UNESCO-Equatorial Guinea International Prize for Research in the Life Sciences	0.2145950789651901	0.0	True
File:Balloon fiesta special shapes02.jpg	0.23661407060736037	0.0	True
Automated aerial refueling	0.3121728637759941	0.0	True
SimLife	0.19089046839017404	0.0	True
File:Adrenaline romance.jpg	0.18287254576395068	0.0	True
Tree rearrangement	0.2670854509248118	0.0	True
RapidMiner	0.521416264892089	0.0	True
Qlucore	0.3239356189697438	0.0	True
Category:Aircraft finance	0.40371445377902304	0.0	True
DNA Data Bank of Japan	0.18630196821011352	0.0	True
AMAP	0.2951432051608259	0.0	True
Minimum information about a simulation experiment	0.38767223113469634	0.0	True
Robert Burn (naturalist)	0.21428144486446438	0.0	True
Ecoinformatics	0.2994875426756009	0.0	True
Formal ontology	0.29083369478360843	0.0	True
Biochore	0.29227150622637593	0.0	True
Neuroscience Information Framework	0.9192598395682897	0.0	True
Aureus Sciences	0.3065069113657861	0.0	True
Heuristic argument	0.2606129179746914	0.0	True
Fluroxypyr	0.23108122728352082	0.0	True
Human subspecies	0.35269097851150716	0.0	True
File:LeoStrauss.jpg	0.21441891990899792	0.0	True
InRule Technology	0.8581463043391897	0.0	True
Prey (novel)	0.19693560190112733	0.0	True
Luciad	0.422180666384406	0.0	True
Template:Nervous system physiology	0.22403029790287962	0.0	True
Category:Taxa described in 1994	0.3452437096044544	0.0	True
Radical translation	0.30835357478349723	0.0	True
File:Pacific Missionary Aviation logo.jpg	0.6321087132717583	0.0	True
Pacific Biodiversity Information Forum	0.22014296407565648	0.0	True
Category:Environmental conferences	0.7045263459560347	0.0	True
Sarnoff Fellowship	0.29559122777942065	0.0	True
Aurora programme	0.18515915295825097	0.0	True
Neural computation	0.707199897831427	0.0	True
Joel Dudley	0.7085930793745236	0.0	True
2018 Atlanta cyberattack	0.5240652066017499	0.0	True
Category:Anatomical simulation	0.5587115602433039	0.0	True
ANGIS	0.6605455366759215	0.0	True
