title	predicted	actual	threshold_pred
American Megafauna	0.008431620949641791	0.0	False
List of cities by population density	0.005428396729251858	0.0	False
Muriel Bristol	0.0162873163530865	0.0	False
Rationality	0.02540906201089554	0.0	False
Skepticism	0.008328395449499596	0.0	False
TROPI	0.007037215105732606	0.0	False
Original intent	0.0058714722260070715	0.0	False
Category:1978 in biology	0.007606860599370299	0.0	False
Heterolysis (biology)	0.007055584659533749	0.0	False
Silvio Bedini	0.007709376488671998	0.0	False
Antarctic Impulse Transient Antenna	0.01827220871782391	0.0	False
Variational properties	0.020494049553607837	0.0	False
Open-question argument	0.015142554344254662	0.0	False
Public produce	0.0042649092711275404	0.0	False
Formosan clouded leopard	0.02595348833749549	0.0	False
Howison Lectures in Philosophy	0.005932613453925319	0.0	False
Category:Philosophy award winners	0.017524622886341178	0.0	False
Particulate pollution	0.0006149715646127958	0.0	False
Category:1968 in aviation	0.011358201928092938	0.0	False
Vitello	0.0013428918481886046	0.0	False
Vladimir Arnold	0.0001236233846534914	0.0	False
Novel world method	0.035715028385867605	0.0	False
Berlinische Monatsschrift	0.026400447772334672	0.0	False
Theology of religions	0.0021466786928608576	0.0	False
Category:Marine Life templates	0.012899477131555422	0.0	False
H. H. Bloomer Award	0.01525277269277621	0.0	False
Category:Hatred	0.05404673802894557	0.0	False
Plant tolerance to herbivory	0.0010900808026643746	0.0	False
Category:Reproduction in animals	0.049223076651428235	0.0	False
Richard Boyd	0.05182900687927274	0.0	False
Necrotaxis	0.0034022098825482803	0.0	False
Category:Authoritarianism	0.05404673802894557	0.0	False
Lactivicin	0.010182251369930907	0.0	False
Boarding pass	0.035239962686988785	0.0	False
Category:Determinists	0.0800710799554418	0.0	False
Ethnographic realism	0.0271703943142276	0.0	False
Claims to the first powered flight	0.008745223874463122	0.0	False
FAIRE-Seq	0.040618831842890474	0.0	False
A23187	0.0032459084667616034	0.0	False
Glossary of botanical terms	0.0002793747261738404	0.0	False
Category:Medicine in society	0.020912718458170266	0.0	False
Old Bold Pilots Association	0.005441258419041115	0.0	False
Global resources dividend	0.024445826348145863	0.0	False
Incontinence (philosophy)	0.003225732811497253	0.0	False
Conserved name	0.021000427205930906	0.0	False
Cytoplasmic determinant	0.021910178815196975	0.0	False
Sulfentrazone	0.002447082370495481	0.0	False
Sulfide intrusion	0.0001290600391680753	0.0	False
Isidium	0.029576123809343144	0.0	False
Book:World War II flying aces	0.034718111300652096	0.0	False
Category:2009 in biotechnology	0.00902174953859383	0.0	False
Template:Pyranoanthocyanidins	0.006011608970095509	0.0	False
Jnana	0.015487003657393084	0.0	False
Bonapartism	0.0005614657682647148	0.0	False
Truth-bearer	0.02535850688232578	0.0	False
Variecolol	0.0023989817407697386	0.0	False
Aircraft registration	0.007180441937816732	0.0	False
Bite the bullet	0.006254830115474554	0.0	False
Category:Microbiology literature	0.008534541407273928	0.0	False
Template:Pollination	0.05404673802894557	0.0	False
Category:Antimicrobials	0.05404673802894557	0.0	False
Tony Milligan	0.05575033596297421	0.0	False
Category:Wikipedia books on ecology	0.0032499013761763495	0.0	False
SKYbrary	0.009152061685698912	0.0	False
Swaraj	0.008390527262395541	0.0	False
Anthropological theories of value	0.009123382440818338	0.0	False
Panzootic	0.0042422919126347035	0.0	False
The Culture of Nakedness and the Nakedness of Culture	0.0008018645889279629	0.0	False
Manca	0.03453747878460572	0.0	False
Ferguson v. NTSB	0.0023455268879703484	0.0	False
Hedonism	0.0005764078157805574	0.0	False
Template:Gene	0.011064293645465576	0.0	False
Benedict Gross	0.0042251247335557225	0.0	False
Acaricide	0.004033405134984154	0.0	False
Immobilized whole cell	0.00859260095601081	0.0	False
Category:1877 in the environment	0.044905791461332334	0.0	False
Book:Evolutionary psychology	0.04750634348710847	0.0	False
Mutual liberty	0.033255323873298104	0.0	False
Category:Biological evolution	0.04091418180387248	0.0	False
Agriculturalism	0.0013196269097431011	0.0	False
Category:1851 in the environment	0.044905791461332334	0.0	False
Effector-triggered immunity	0.09275249951430127	0.0	False
Resurrection	0.0032552162970561098	0.0	False
Category:Missing aircraft	0.019249288872421066	0.0	False
Category:Earth	0.05404673802894557	0.0	False
Present day Mars habitability analogue environments on Earth	0.00026369186181684747	0.0	False
Category:Happiness	0.022108344606357223	0.0	False
The Paradoxes of Mr. Pond	0.0004914933205342365	0.0	False
Category:Environmental studies scholars	0.01734120987437593	0.0	False
Chee Soo	0.0025089436620816	0.0	False
Territory (animal)	0.013752746789754884	0.0	False
Category:Evolution of tetrapods	0.05404673802894557	0.0	False
Category:Aviation in Lesotho	0.05404673802894557	0.0	False
Medically unexplained physical symptoms	0.0015217166517391206	0.0	False
Category:Medieval philosophy	0.0014703052612971184	0.0	False
Flux balance analysis	0.03469165852631491	0.0	False
Squamulose lichen	0.02233550128814868	0.0	False
Template:Missouri Plants	0.0017777475619719634	0.0	False
Conflict of interest	0.023894187793574138	0.0	False
Category:Autoimmune diseases	0.08137578350755148	0.0	False
Embryo	0.0043510936990002955	0.0	False
Testing effect	0.026099974576486055	0.0	False
Black-ray goby	0.0017578834194692992	0.0	False
Category:Serology templates	0.010509708929802297	0.0	False
Ioannis Kigalas	0.005332020396754289	0.0	False
The Sunset Limited (film)	0.005701361592492813	0.0	False
History of the creation–evolution controversy	0.0017252176644689675	0.0	False
Meta-ontology	0.06780425210176111	0.0	False
Gladiolin	0.040956943068156566	0.0	False
Ursula Klein	0.00017120466614211618	0.0	False
Gliding motility	0.0021028980086363965	0.0	False
Category:Horse landraces	0.05404673802894557	0.0	False
Category:Law and literature	0.008534541407273928	0.0	False
Category:1898 in biology	0.007606860599370299	0.0	False
2012 Carterton hot air balloon crash	0.004976147539262401	0.0	False
Noël O'Sullivan	0.016106640147486268	0.0	False
Category:2007 health disasters	0.02635845031045615	0.0	False
Index of ancient philosophy articles	0.006576854541622202	0.0	False
Template:Opisthokont protists	0.049223076651428235	0.0	False
Phoresis	0.0027967817625833527	0.0	False
Category:Aircraft industry	0.00488098316002795	0.0	False
Sediment-dwelling organism	0.016633352838192658	0.0	False
MTT assay	0.0037634097615909575	0.0	False
Isobaric tag for relative and absolute quantitation	0.0027279621015755223	0.0	False
Habeas corpus	0.007288795072022421	0.0	False
Hydrosis	0.016807840722447252	0.0	False
