title	predicted	actual	threshold_pred
Androtomy	0.20005241002809576	0.0	True
File:Adobe Presenter 9.png	0.2002436499533111	0.0	True
Frederick Carrick	0.20099682775353708	0.0	True
Category:Artificial intelligence researchers	0.20114787888325872	0.0	True
Phonetotopy	0.20194692004221013	0.0	True
Peloza v. Capistrano School District	0.2020703665693368	0.0	True
Cryptozoology	0.2025262162616456	0.0	True
Category:Aviation schools	0.20261333312439614	0.0	True
Category:Coding schools	0.20261333312439614	0.0	True
Ernesto Priani	0.20278955725402595	0.0	True
File:Eclipse Inc 1991 - 2001 logo.gif	0.20316626402491253	0.0	True
Hana Librová	0.2038127540884273	0.0	True
Category:Autism rights movement	0.2039115890591764	0.0	True
Computing Machinery and Intelligence	0.20392846314126745	0.0	True
K-line (artificial intelligence)	0.2041363815588905	0.0	True
Bashing (pejorative)	0.20443682467874347	0.0	True
Indirect self-reference	0.20454499482158328	0.0	True
File:Captain norton.png	0.2059432995677799	0.0	True
Von Baer's laws (embryology)	0.2059727159348743	0.0	True
Memory inhibition	0.20608333984013094	0.0	True
Thomas Henry Huxley	0.20609861540151295	0.0	True
Category:Commercial aviators	0.20618270550232587	0.0	True
Popularity	0.20620691645633765	0.0	True
Template:Animal rights	0.2065236763324397	0.0	True
Jonathan Wells (intelligent design advocate)	0.2065504801101141	0.0	True
Social stress	0.2066352304903113	0.0	True
Cornucopian	0.20690915593704898	0.0	True
Bachelor of Environmental Science	0.2069946214906425	0.0	True
Walter Binaghi	0.20733900949524492	0.0	True
Empathizing–systemizing theory	0.20780832976127986	0.0	True
File:AristotleMDR logo.png	0.20784515167358136	0.0	True
Category:Wikipedia categories named after aviators	0.2081691231983759	0.0	True
File:1 Second Everyday Logo.jpg	0.2082953240306404	0.0	True
Martin Kay	0.2090386073331664	0.0	True
Kalevi Kull	0.2090581061316769	0.0	True
Template:Medical anthropology	0.2094732949597431	0.0	True
File:Confide logo.png	0.20967408861174214	0.0	True
Animal welfare science	0.2098215456647756	0.0	True
AI for Good	0.2099360424391763	0.0	True
On the Origin of Species	0.21022988236509307	0.0	True
Ken Forbus	0.2105356266457029	0.0	True
Association for Computational Linguistics	0.2108414086560052	0.0	True
S1909/A2840	0.21166900033713051	0.0	True
Lydia Rabinowitsch-Kempner	0.21273868036043928	0.0	True
Sensu	0.21437133977783676	0.0	True
Category:Biology societies	0.21440850296479133	0.0	True
Category:Botanical societies	0.21440850296479133	0.0	True
Category:Medicine in society	0.21440850296479133	0.0	True
File:DriveSentryLogoo.jpg	0.21455135370085074	0.0	True
Cooperative eye hypothesis	0.21474636525666205	0.0	True
AI Now Institute	0.21528449382560527	0.0	True
Ministry of Family, Labour and Social Policy (Poland)	0.21556731999277	0.0	True
File:Sick Sad Life.jpg	0.21565892965447545	0.0	True
Category:History of mycology	0.2160236705203577	0.0	True
Free and Independent Faction	0.2164699827354584	0.0	True
Haslem v. Lockwood	0.21654643801249407	0.0	True
Emotional eating	0.2168888204608877	0.0	True
Willard McCarty	0.2172157767228802	0.0	True
Category:Aviation in the Central African Republic	0.2174458830333917	0.0	True
Per Fugelli	0.2176320564620548	0.0	True
Category:Program logic	0.21770182909102725	0.0	True
ASR-complete	0.2179388219352524	0.0	True
Category:Computer science in the Netherlands	0.21801583543720301	0.0	True
